Amount_Requested,Application_Date,Loan_Title,Risk_Score,Debt_to_Income_Ratio,Zip_Code,State,Employment_Length,Policy_Code
25000.0,2016-04-01,other,727.0,18.88%,038xx,NH,< 1 year,0.0
2000.0,2016-04-01,debt_consolidation,,0%,891xx,NV,< 1 year,0.0
12000.0,2016-04-01,credit_card,,17.73%,852xx,AZ,< 1 year,0.0
20000.0,2016-04-01,debt_consolidation,,18.68%,665xx,KS,< 1 year,0.0
8000.0,2016-04-01,debt_consolidation,,12.53%,061xx,CT,< 1 year,0.0
2000.0,2016-04-01,debt_consolidation,,18.68%,995xx,AK,< 1 year,0.0
25000.0,2016-04-01,debt_consolidation,,7.05%,741xx,OK,< 1 year,0.0
30000.0,2016-04-01,debt_consolidation,,33.43%,932xx,CA,5 years,0.0
5000.0,2016-04-01,debt_consolidation,,6.75%,313xx,GA,< 1 year,0.0
5000.0,2016-04-01,other,,-1%,117xx,NY,< 1 year,0.0
5000.0,2016-04-01,credit_card,,4.51%,895xx,NV,< 1 year,0.0
40000.0,2016-04-01,debt_consolidation,,69.38%,703xx,LA,< 1 year,0.0
1000.0,2016-04-01,vacation,,-1%,019xx,FL,< 1 year,0.0
40000.0,2016-04-01,home_improvement,,-1%,373xx,TN,< 1 year,0.0
5000.0,2016-04-01,credit_card,,45.82%,968xx,HI,< 1 year,0.0
15000.0,2016-04-01,vacation,,7.63%,969xx,OR,< 1 year,0.0
250000.0,2016-04-01,Business Loan,,-1%,088xx,NJ,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,41.86%,837xx,ID,< 1 year,0.0
35000.0,2016-04-01,home_improvement,,26.07%,853xx,AZ,,0.0
1500.0,2016-04-01,debt_consolidation,,-1%,701xx,LA,5 years,0.0
20000.0,2016-04-01,debt_consolidation,,107.72%,917xx,CA,< 1 year,0.0
25000.0,2016-04-01,Business Loan,,-1%,300xx,GA,< 1 year,0.0
15000.0,2016-04-01,debt_consolidation,,41.62%,306xx,GA,< 1 year,0.0
22000.0,2016-04-01,Debt consolidation,,21.33%,906xx,CA,10+ years,0.0
20000.0,2016-04-01,car,,8.51%,354xx,AL,< 1 year,0.0
7000.0,2016-04-01,debt_consolidation,,34.78%,380xx,TN,< 1 year,0.0
3000.0,2016-04-01,credit_card,,4.11%,185xx,PA,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,2.68%,982xx,WA,< 1 year,0.0
20000.0,2016-04-01,moving,,1%,954xx,CA,5 years,0.0
1000.0,2016-04-01,other,,0%,761xx,TX,< 1 year,0.0
5000.0,2016-04-01,credit_card,,7.94%,223xx,VA,< 1 year,0.0
40000.0,2016-04-01,debt_consolidation,,38.8%,703xx,LA,< 1 year,0.0
10000.0,2016-04-01,home_improvement,,12.64%,967xx,HI,< 1 year,0.0
15000.0,2016-04-01,credit_card,,13.65%,724xx,AR,,0.0
5000.0,2016-04-01,Business Loan,,-1%,853xx,AZ,< 1 year,0.0
35000.0,2016-04-01,credit_card,,20.76%,113xx,NY,< 1 year,0.0
4000.0,2016-04-01,debt_consolidation,,8.69%,787xx,TX,< 1 year,0.0
10000.0,2016-04-01,other,,6.2%,721xx,AR,5 years,0.0
15000.0,2016-04-01,debt_consolidation,,23.2%,423xx,KY,< 1 year,0.0
15000.0,2016-04-01,debt_consolidation,,18.14%,067xx,CT,< 1 year,0.0
35000.0,2016-04-01,debt_consolidation,,-1%,951xx,CA,< 1 year,0.0
10000.0,2016-04-01,house,,3.56%,913xx,CA,5 years,0.0
2500.0,2016-04-01,debt_consolidation,,24.63%,903xx,CA,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,4.55%,458xx,OH,< 1 year,0.0
12000.0,2016-04-01,debt_consolidation,,17.07%,958xx,CA,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,-1%,917xx,CA,5 years,0.0
7500.0,2016-04-01,small_business,,36.94%,956xx,CA,5 years,0.0
35000.0,2016-04-01,credit_card,,-1%,958xx,CA,5 years,0.0
30000.0,2016-04-01,debt_consolidation,786.0,44.64%,967xx,HI,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,0%,974xx,OR,,0.0
14000.0,2016-04-01,credit_card,,33.48%,123xx,NY,5 years,0.0
6500.0,2016-04-01,debt_consolidation,,20%,304xx,GA,< 1 year,0.0
3000.0,2016-04-01,debt_consolidation,,20.52%,900xx,CA,< 1 year,0.0
17000.0,2016-04-01,debt_consolidation,,17.76%,891xx,NV,< 1 year,0.0
25000.0,2016-04-01,debt_consolidation,,64.16%,442xx,OH,< 1 year,0.0
1000.0,2016-04-01,debt_consolidation,,12.59%,104xx,NY,< 1 year,0.0
1500.0,2016-04-01,debt_consolidation,,8.4%,033xx,NH,5 years,0.0
5000.0,2016-04-01,medical,,0.2%,921xx,CA,5 years,0.0
35000.0,2016-04-01,debt_consolidation,,40.76%,895xx,NV,< 1 year,0.0
25000.0,2016-04-01,Debt consolidation,,48.81%,945xx,CA,3 years,0.0
6000.0,2016-04-01,major_purchase,502.0,6.68%,762xx,TN,< 1 year,0.0
1500.0,2016-04-01,credit_card,,7.61%,112xx,NY,< 1 year,0.0
18000.0,2016-04-01,home_improvement,,10.41%,784xx,TX,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,17.25%,850xx,AZ,< 1 year,0.0
10000.0,2016-04-01,Business Loan,,-1%,891xx,NV,< 1 year,0.0
10000.0,2016-04-01,home_improvement,,1.39%,402xx,KY,< 1 year,0.0
2000.0,2016-04-01,debt_consolidation,,5.61%,337xx,FL,< 1 year,0.0
5000.0,2016-04-01,credit_card,,200%,981xx,WA,< 1 year,0.0
4000.0,2016-04-01,Credit card refinancing,,16.56%,115xx,NY,10+ years,0.0
20000.0,2016-04-01,major_purchase,,18.91%,967xx,HI,< 1 year,0.0
6000.0,2016-04-01,other,,9.48%,018xx,MA,< 1 year,0.0
2000.0,2016-04-01,moving,,-1%,021xx,MA,5 years,0.0
20000.0,2016-04-01,debt_consolidation,,64.59%,900xx,CA,< 1 year,0.0
2000.0,2016-04-01,home_improvement,,5.79%,142xx,NY,< 1 year,0.0
13000.0,2016-04-01,car,,17.82%,114xx,NY,< 1 year,0.0
5000.0,2016-04-01,other,,0%,021xx,MA,< 1 year,0.0
35000.0,2016-04-01,house,,12.8%,114xx,NY,5 years,0.0
2500.0,2016-04-01,car,,180.71%,371xx,TN,5 years,0.0
10000.0,2016-04-01,debt_consolidation,,22.64%,330xx,FL,< 1 year,0.0
5000.0,2016-04-01,Debt consolidation,,14.46%,604xx,IL,10+ years,0.0
15000.0,2016-04-01,debt_consolidation,,12.45%,920xx,CA,5 years,0.0
5000.0,2016-04-01,other,,1.53%,841xx,UT,< 1 year,0.0
8000.0,2016-04-01,major_purchase,,1.84%,328xx,FL,< 1 year,0.0
10000.0,2016-04-01,other,,9.2%,840xx,UT,< 1 year,0.0
4000.0,2016-04-01,car,,0%,967xx,HI,< 1 year,0.0
2500.0,2016-04-01,other,,9.61%,012xx,MA,< 1 year,0.0
8000.0,2016-04-01,major_purchase,,18.91%,833xx,ID,< 1 year,0.0
25000.0,2016-04-01,debt_consolidation,,5.21%,021xx,MA,< 1 year,0.0
5000.0,2016-04-01,major_purchase,,17.87%,857xx,AZ,5 years,0.0
3000.0,2016-04-01,debt_consolidation,,654.82%,907xx,CA,< 1 year,0.0
40000.0,2016-04-01,debt_consolidation,,33.62%,346xx,FL,< 1 year,0.0
26000.0,2016-04-01,major_purchase,,16.57%,874xx,NM,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,,38.5%,933xx,CA,< 1 year,0.0
1500.0,2016-04-01,other,,4.92%,853xx,AZ,< 1 year,0.0
35000.0,2016-04-01,car,,0%,174xx,PA,,0.0
10000.0,2016-04-01,house,,0%,482xx,MI,5 years,0.0
6000.0,2016-04-01,Debt consolidation,,7.88%,913xx,CA,,0.0
5000.0,2016-04-01,moving,,22.94%,933xx,CA,< 1 year,0.0
15000.0,2016-04-01,debt_consolidation,,9.12%,466xx,IN,5 years,0.0
11000.0,2016-04-01,credit_card,,23.03%,410xx,KY,5 years,0.0
7000.0,2016-04-01,medical,,21.21%,624xx,IL,< 1 year,0.0
1500.0,2016-04-01,vacation,604.0,10.94%,350xx,AL,< 1 year,0.0
3000.0,2016-04-01,debt_consolidation,,1.43%,112xx,NY,< 1 year,0.0
1000.0,2016-04-01,other,,1.2%,238xx,VA,< 1 year,0.0
7000.0,2016-04-01,debt_consolidation,,16.23%,926xx,CA,< 1 year,0.0
5000.0,2016-04-01,other,,0%,305xx,GA,< 1 year,0.0
10000.0,2016-04-01,home_improvement,,43.08%,891xx,NV,< 1 year,0.0
2000.0,2016-04-01,medical,593.0,130.86%,891xx,NV,< 1 year,0.0
15675.0,2016-04-01,debt_consolidation,,18.4%,730xx,OK,5 years,0.0
5000.0,2016-04-01,debt_consolidation,,13.8%,767xx,TX,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,105.6%,080xx,CA,< 1 year,0.0
2000.0,2016-04-01,other,,5.4%,781xx,TX,< 1 year,0.0
20000.0,2016-04-01,Debt consolidation,,9.86%,981xx,WA,10+ years,0.0
10000.0,2016-04-01,debt_consolidation,,16.2%,846xx,UT,< 1 year,0.0
1000.0,2016-04-01,other,571.0,67.47%,081xx,NJ,< 1 year,0.0
7000.0,2016-04-01,small_business,,-1%,891xx,NV,5 years,0.0
10000.0,2016-04-01,major_purchase,,2.34%,786xx,TX,< 1 year,0.0
4000.0,2016-04-01,home_improvement,,0%,391xx,MS,< 1 year,0.0
5000.0,2016-04-01,other,,14.84%,448xx,OH,< 1 year,0.0
15000.0,2016-04-01,debt_consolidation,,14.23%,841xx,UT,5 years,0.0
6000.0,2016-04-01,home_improvement,,2.29%,585xx,ND,< 1 year,0.0
1500.0,2016-04-01,debt_consolidation,,4%,754xx,TX,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,,13.22%,948xx,CA,< 1 year,0.0
15000.0,2016-04-01,debt_consolidation,,30.68%,775xx,TX,,0.0
2500.0,2016-04-01,debt_consolidation,,14.45%,891xx,NV,< 1 year,0.0
5000.0,2016-04-01,car,562.0,1.94%,279xx,NC,< 1 year,0.0
20000.0,2016-04-01,Business,,18.32%,923xx,CA,10+ years,0.0
1800.0,2016-04-01,major_purchase,,0%,071xx,NJ,< 1 year,0.0
9000.0,2016-04-01,debt_consolidation,,16.18%,891xx,NV,< 1 year,0.0
4000.0,2016-04-01,car,,1.58%,063xx,CT,5 years,0.0
1000.0,2016-04-01,vacation,,-1%,558xx,MN,5 years,0.0
20000.0,2016-04-01,home_improvement,,8.07%,324xx,FL,< 1 year,0.0
5000.0,2016-04-01,credit_card,569.0,33.06%,905xx,CA,< 1 year,0.0
6000.0,2016-04-01,home_improvement,,20.56%,928xx,CA,< 1 year,0.0
15000.0,2016-04-01,major_purchase,,0.6%,914xx,CA,< 1 year,0.0
15000.0,2016-04-01,debt_consolidation,,31.4%,900xx,CA,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,328.76%,796xx,TX,< 1 year,0.0
6000.0,2016-04-01,debt_consolidation,,17.47%,913xx,CA,,0.0
2500.0,2016-04-01,debt_consolidation,501.0,21.56%,641xx,MO,< 1 year,0.0
1000.0,2016-04-01,moving,,1.25%,984xx,WA,< 1 year,0.0
3200.0,2016-04-01,car,,0%,959xx,CA,5 years,0.0
5000.0,2016-04-01,other,,0%,392xx,MS,< 1 year,0.0
5000.0,2016-04-01,moving,,0%,230xx,VA,< 1 year,0.0
2500.0,2016-04-01,debt_consolidation,,1.2%,309xx,GA,5 years,0.0
5000.0,2016-04-01,small_business,,11.15%,391xx,MS,< 1 year,0.0
1000.0,2016-04-01,vacation,,19.61%,347xx,FL,< 1 year,0.0
5000.0,2016-04-01,other,,4.7%,070xx,NJ,5 years,0.0
20000.0,2016-04-01,debt_consolidation,,29.86%,322xx,FL,,0.0
35000.0,2016-04-01,car,,-1%,968xx,HI,< 1 year,0.0
1000.0,2016-04-01,medical,,2.11%,986xx,WA,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,598.0,8.08%,917xx,CA,< 1 year,0.0
7000.0,2016-04-01,other,,8.23%,577xx,SD,< 1 year,0.0
1000.0,2016-04-01,Debt consolidation,,20.34%,386xx,MS,1 year,2.0
15000.0,2016-04-01,debt_consolidation,,6.69%,112xx,NY,< 1 year,0.0
5000.0,2016-04-01,other,,5.78%,388xx,MS,< 1 year,0.0
15000.0,2016-04-01,other,,9.88%,016xx,MA,< 1 year,0.0
7000.0,2016-04-01,credit_card,,29.35%,985xx,WA,< 1 year,0.0
5000.0,2016-04-01,home_improvement,,6.92%,805xx,CO,< 1 year,0.0
5000.0,2016-04-01,Other,659.0,16.54%,144xx,NY,2 years,0.0
20000.0,2016-04-01,debt_consolidation,655.0,9.96%,890xx,NV,< 1 year,0.0
35000.0,2016-04-01,house,,32.75%,891xx,NV,5 years,0.0
5000.0,2016-04-01,major_purchase,,18.92%,302xx,GA,< 1 year,0.0
1000.0,2016-04-01,debt_consolidation,,25.29%,989xx,WA,5 years,0.0
1000.0,2016-04-01,debt_consolidation,,6.24%,908xx,CA,< 1 year,0.0
3000.0,2016-04-01,major_purchase,,16.35%,064xx,CT,5 years,0.0
12000.0,2016-04-01,credit_card,,12.98%,077xx,NJ,< 1 year,0.0
5000.0,2016-04-01,other,,17.33%,683xx,NE,5 years,0.0
5000.0,2016-04-01,major_purchase,,1.19%,328xx,FL,< 1 year,0.0
1000.0,2016-04-01,medical,,38.82%,280xx,NC,< 1 year,0.0
7000.0,2016-04-01,Credit card refinancing,,13.71%,488xx,MI,8 years,0.0
3000.0,2016-04-01,debt_consolidation,,1.74%,778xx,TX,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,37.7%,927xx,CA,< 1 year,0.0
25000.0,2016-04-01,small_business,,42.48%,267xx,WV,5 years,0.0
10000.0,2016-04-01,other,,9.32%,194xx,PA,< 1 year,0.0
8000.0,2016-04-01,debt_consolidation,,19.43%,601xx,IL,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,5.17%,328xx,FL,< 1 year,0.0
25000.0,2016-04-01,credit_card,,8.8%,700xx,LA,5 years,0.0
6000.0,2016-04-01,home_improvement,,16.82%,930xx,CA,< 1 year,0.0
1000.0,2016-04-01,other,,13.07%,336xx,FL,5 years,0.0
5000.0,2016-04-01,debt_consolidation,,0%,402xx,KY,< 1 year,0.0
7050.0,2016-04-01,credit_card,,13.85%,941xx,CA,< 1 year,0.0
5000.0,2016-04-01,credit_card,,37.04%,285xx,NC,5 years,0.0
2000.0,2016-04-01,debt_consolidation,,25.03%,469xx,IN,< 1 year,0.0
20000.0,2016-04-01,debt_consolidation,,67.51%,891xx,NV,< 1 year,0.0
4000.0,2016-04-01,debt_consolidation,,3.48%,640xx,MO,< 1 year,0.0
10000.0,2016-04-01,Other,,25.78%,050xx,VT,10+ years,0.0
12000.0,2016-04-01,debt_consolidation,,16.97%,179xx,PA,< 1 year,0.0
3500.0,2016-04-01,debt_consolidation,,21.81%,302xx,GA,< 1 year,0.0
1000.0,2016-04-01,debt_consolidation,,14.82%,103xx,NY,< 1 year,0.0
8000.0,2016-04-01,debt_consolidation,,72.36%,700xx,LA,< 1 year,0.0
4000.0,2016-04-01,home_improvement,,21.36%,346xx,FL,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,15.19%,194xx,PA,< 1 year,0.0
35000.0,2016-04-01,debt_consolidation,,15.98%,623xx,IL,5 years,0.0
8000.0,2016-04-01,debt_consolidation,,0%,112xx,NY,< 1 year,0.0
6000.0,2016-04-01,debt_consolidation,,17.02%,233xx,VA,< 1 year,0.0
40000.0,2016-04-01,debt_consolidation,,64.76%,481xx,MI,< 1 year,0.0
40000.0,2016-04-01,small_business,,24.82%,981xx,WA,< 1 year,0.0
1500.0,2016-04-01,other,,3.42%,852xx,AZ,< 1 year,0.0
2000.0,2016-04-01,debt_consolidation,,8.7%,712xx,LA,,0.0
20000.0,2016-04-01,debt_consolidation,,8.46%,104xx,NY,< 1 year,0.0
1000.0,2016-04-01,other,,12.32%,150xx,PA,,0.0
4000.0,2016-04-01,major_purchase,,0.96%,294xx,SC,5 years,0.0
5500.0,2016-04-01,debt_consolidation,,4.95%,462xx,IN,< 1 year,0.0
10000.0,2016-04-01,other,,18.33%,344xx,FL,< 1 year,0.0
3500.0,2016-04-01,debt_consolidation,,10.77%,871xx,NM,< 1 year,0.0
25000.0,2016-04-01,house,,22.83%,534xx,WI,< 1 year,0.0
1500.0,2016-04-01,debt_consolidation,,1.97%,358xx,AL,< 1 year,0.0
3000.0,2016-04-01,moving,,0.93%,441xx,OH,< 1 year,0.0
5000.0,2016-04-01,credit_card,,11.63%,207xx,MD,< 1 year,0.0
3500.0,2016-04-01,debt_consolidation,,4.35%,770xx,TX,< 1 year,0.0
5000.0,2016-04-01,Debt consolidation,,16.69%,465xx,IN,< 1 year,0.0
1000.0,2016-04-01,other,,26.93%,631xx,MO,< 1 year,0.0
25000.0,2016-04-01,debt_consolidation,,24.53%,327xx,FL,< 1 year,0.0
10000.0,2016-04-01,home_improvement,,14.67%,984xx,WA,5 years,0.0
1000.0,2016-04-01,debt_consolidation,,-1%,136xx,NY,5 years,0.0
24000.0,2016-04-01,debt_consolidation,,28.34%,086xx,NJ,< 1 year,0.0
2500.0,2016-04-01,debt_consolidation,,7.38%,908xx,CA,< 1 year,0.0
1000.0,2016-04-01,other,,1.88%,605xx,IL,< 1 year,0.0
10000.0,2016-04-01,credit_card,,6.21%,852xx,AZ,< 1 year,0.0
12000.0,2016-04-01,debt_consolidation,,26.32%,021xx,MA,5 years,0.0
2000.0,2016-04-01,medical,,17.95%,925xx,CA,< 1 year,0.0
15000.0,2016-04-01,home_improvement,,35.67%,322xx,FL,5 years,0.0
15000.0,2016-04-01,other,,46.12%,060xx,CT,5 years,0.0
2000.0,2016-04-01,moving,,0%,457xx,OH,< 1 year,0.0
25400.0,2016-04-01,debt_consolidation,,39.21%,230xx,VA,< 1 year,0.0
2000.0,2016-04-01,credit_card,595.0,21.16%,601xx,IL,< 1 year,0.0
5000.0,2016-04-01,other,,4.18%,908xx,CA,5 years,0.0
1500.0,2016-04-01,other,,20.46%,921xx,CA,< 1 year,0.0
40000.0,2016-04-01,debt_consolidation,,10.44%,027xx,MA,< 1 year,0.0
6500.0,2016-04-01,debt_consolidation,,8.73%,941xx,CA,< 1 year,0.0
5000.0,2016-04-01,credit_card,,40.04%,191xx,PA,< 1 year,0.0
10000.0,2016-04-01,credit_card,,48.28%,400xx,KY,< 1 year,0.0
21000.0,2016-04-01,debt_consolidation,,27.11%,301xx,GA,,0.0
3000.0,2016-04-01,debt_consolidation,,18.4%,968xx,HI,< 1 year,0.0
25000.0,2016-04-01,home_improvement,,0.83%,314xx,GA,5 years,0.0
4500.0,2016-04-01,other,,0.96%,294xx,SC,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,,7.86%,330xx,FL,< 1 year,0.0
20000.0,2016-04-01,credit_card,,23.75%,941xx,CA,< 1 year,0.0
1000.0,2016-04-01,debt_consolidation,,-1%,624xx,IN,< 1 year,0.0
25000.0,2016-04-01,other,,20.4%,604xx,IL,< 1 year,0.0
1500.0,2016-04-01,debt_consolidation,,4.55%,489xx,MI,5 years,0.0
5000.0,2016-04-01,debt_consolidation,,3.38%,189xx,PA,< 1 year,0.0
30000.0,2016-04-01,debt_consolidation,,10.5%,114xx,NY,< 1 year,0.0
15000.0,2016-04-01,car,,2.68%,951xx,CA,5 years,0.0
1000.0,2016-04-01,other,,23.56%,331xx,FL,5 years,0.0
1500.0,2016-04-01,home_improvement,,11.13%,933xx,CA,,0.0
25000.0,2016-04-01,house,,-1%,820xx,WY,5 years,0.0
10000.0,2016-04-01,other,,9.73%,481xx,MI,< 1 year,0.0
14000.0,2016-04-01,Debt consolidation,,13.43%,967xx,HI,< 1 year,0.0
1000.0,2016-04-01,moving,,8.45%,750xx,TX,< 1 year,0.0
5000.0,2016-04-01,home_improvement,,28.11%,359xx,AL,< 1 year,0.0
6000.0,2016-04-01,credit_card,,48.6%,410xx,KY,< 1 year,0.0
2500.0,2016-04-01,other,,-1%,756xx,TX,5 years,0.0
20000.0,2016-04-01,home_improvement,,4.04%,781xx,TX,< 1 year,0.0
35000.0,2016-04-01,major_purchase,,17.25%,125xx,NY,< 1 year,0.0
1500.0,2016-04-01,debt_consolidation,,-1%,705xx,LA,< 1 year,0.0
6000.0,2016-04-01,credit_card,,26.98%,354xx,AL,5 years,0.0
30000.0,2016-04-01,credit_card,,7.11%,021xx,MA,< 1 year,0.0
20000.0,2016-04-01,debt_consolidation,653.0,33.12%,891xx,NV,< 1 year,0.0
6500.0,2016-04-01,major_purchase,,20.06%,281xx,NC,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,15.1%,015xx,MA,5 years,0.0
1000.0,2016-04-01,other,,23.65%,672xx,KS,5 years,0.0
2000.0,2016-04-01,Major purchase,,12%,933xx,CA,10+ years,0.0
2500.0,2016-04-01,car,,1.44%,212xx,MD,< 1 year,0.0
5000.0,2016-04-01,home_improvement,,32.5%,770xx,TX,< 1 year,0.0
5500.0,2016-04-01,debt_consolidation,,-1%,349xx,FL,5 years,0.0
20000.0,2016-04-01,vacation,,22.41%,951xx,CA,5 years,0.0
5000.0,2016-04-01,other,,76.33%,760xx,TX,< 1 year,0.0
3000.0,2016-04-01,other,,18.6%,660xx,KS,< 1 year,0.0
29000.0,2016-04-01,debt_consolidation,,16.62%,995xx,AK,< 1 year,0.0
5000.0,2016-04-01,home_improvement,,2.7%,322xx,FL,5 years,0.0
1000.0,2016-04-01,moving,,20.24%,717xx,AR,< 1 year,0.0
25000.0,2016-04-01,debt_consolidation,,64.93%,748xx,OK,,0.0
22000.0,2016-04-01,debt_consolidation,,-1%,187xx,PA,< 1 year,0.0
1000.0,2016-04-01,other,,12.42%,301xx,GA,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,632.0,48.94%,310xx,GA,< 1 year,0.0
1000.0,2016-04-01,debt_consolidation,,3.6%,605xx,IL,< 1 year,0.0
25000.0,2016-04-01,credit_card,,5.71%,463xx,IN,5 years,0.0
1000.0,2016-04-01,home_improvement,,14.37%,902xx,CA,5 years,0.0
1000.0,2016-04-01,major_purchase,,0%,132xx,NY,< 1 year,0.0
18000.0,2016-04-01,credit_card,,39.42%,040xx,ME,< 1 year,0.0
15000.0,2016-04-01,Home improvement,853.0,4.74%,945xx,CA,10+ years,0.0
5000.0,2016-04-01,other,,114.42%,856xx,AZ,< 1 year,0.0
3000.0,2016-04-01,moving,,19.8%,320xx,FL,< 1 year,0.0
12000.0,2016-04-01,debt_consolidation,,128.5%,142xx,NY,< 1 year,0.0
25000.0,2016-04-01,credit_card,,14.95%,471xx,IN,5 years,0.0
4500.0,2016-04-01,Debt consolidation,,49.21%,440xx,OH,10+ years,0.0
1000.0,2016-04-01,debt_consolidation,,2.35%,760xx,TX,< 1 year,0.0
6000.0,2016-04-01,Other,,3.4%,180xx,PA,3 years,0.0
40000.0,2016-04-01,debt_consolidation,,34.44%,853xx,AZ,< 1 year,0.0
20000.0,2016-04-01,debt_consolidation,,19.28%,342xx,FL,< 1 year,0.0
4000.0,2016-04-01,car,,39.33%,750xx,TX,< 1 year,0.0
5000.0,2016-04-01,credit_card,,15.68%,303xx,GA,< 1 year,0.0
40000.0,2016-04-01,debt_consolidation,,45.83%,853xx,AZ,< 1 year,0.0
25000.0,2016-04-01,car,,14.76%,900xx,CA,< 1 year,0.0
20000.0,2016-04-01,debt_consolidation,,6.5%,285xx,NC,< 1 year,0.0
15000.0,2016-04-01,major_purchase,,0%,917xx,CA,,0.0
10000.0,2016-04-01,debt_consolidation,,14.22%,671xx,KS,< 1 year,0.0
15000.0,2016-04-01,Other,,19.89%,917xx,CA,10+ years,0.0
15000.0,2016-04-01,other,,1.18%,207xx,MD,5 years,0.0
6000.0,2016-04-01,credit_card,,15.56%,129xx,NY,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,,35.16%,774xx,TX,< 1 year,0.0
5000.0,2016-04-01,other,,2.73%,207xx,MD,5 years,0.0
7000.0,2016-04-01,moving,,168.96%,146xx,NY,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,,27.77%,667xx,KS,< 1 year,0.0
5000.0,2016-04-01,debt_consolidation,,21.97%,554xx,MN,< 1 year,0.0
15000.0,2016-04-01,debt_consolidation,,28.02%,577xx,SD,< 1 year,0.0
20000.0,2016-04-01,medical,,14.8%,925xx,CA,5 years,0.0
1000.0,2016-04-01,car,,1.19%,212xx,MD,< 1 year,0.0
7200.0,2016-04-01,home_improvement,,46.86%,234xx,VA,< 1 year,0.0
10000.0,2016-04-01,debt_consolidation,,0.25%,600xx,IL,< 1 year,0.0
5000.0,2016-04-01,other,,1083.67%,273xx,NC,< 1 year,0.0
5000.0,2016-04-01,major_purchase,,1.7%,907xx,CA,< 1 year,0.0
1000.0,2016-04-01,moving,,7.1%,233xx,VA,5 years,0.0
6000.0,2016-04-01,debt_consolidation,,6.6%,923xx,CA,< 1 year,0.0
10000.0,2016-04-01,medical,,0%,891xx,NV,< 1 year,0.0
24000.0,2016-04-01,Debt consolidation,,29.06%,923xx,CA,10+ years,0.0
10000.0,2016-04-01,debt_consolidation,,10.88%,086xx,NJ,< 1 year,0.0
15000.0,2016-04-01,debt_consolidation,,47.22%,433xx,OH,5 years,0.0
6000.0,2016-04-01,car,,18.53%,271xx,NC,5 years,0.0
5000.0,2016-04-01,other,,13.5%,681xx,NE,5 years,0.0
